source_id,relation,target_id
runtime:ixucasdk420,COMPATIBLE_WITH,API:cublasCreate
runtime:ixucasdk420,COMPATIBLE_WITH,API:cublasDestroy
runtime:ixucasdk420,COMPATIBLE_WITH,API:cublasGetAtomicsMode
runtime:ixucasdk420,COMPATIBLE_WITH,API:cublasGetLoggerCallback
runtime:ixucasdk420,COMPATIBLE_WITH,API:cublasGetMathMode
runtime:ixucasdk420,COMPATIBLE_WITH,API:cublasGetMatrix
runtime:ixucasdk420,COMPATIBLE_WITH,API:cublasGetMatrixAsync
runtime:ixucasdk420,COMPATIBLE_WITH,API:cublasGetPointerMode
runtime:ixucasdk420,COMPATIBLE_WITH,API:cublasGetProperty
runtime:ixucasdk420,COMPATIBLE_WITH,API:cublasGetStream
runtime:ixucasdk420,COMPATIBLE_WITH,API:cublasGetVector
runtime:ixucasdk420,COMPATIBLE_WITH,API:cublasGetVectorAsync
runtime:ixucasdk420,COMPATIBLE_WITH,API:cublasGetVersion
runtime:ixucasdk420,COMPATIBLE_WITH,API:cublasLoggerConfigure
runtime:ixucasdk420,COMPATIBLE_WITH,API:cublasSetAtomicsMode
API:cudaChooseDevice,MAPS_TO,API:hipChooseDevice
API:cudaDeviceGetAttribute,MAPS_TO,API:hipDeviceGetAttribute
API:cudaDeviceGetByPCIBusId,MAPS_TO,API:hipDeviceGetByPCIBusId
API:cudaDeviceGetCacheConfig,MAPS_TO,API:hipDeviceGetCacheConfig
API:cudaDeviceGetLimit,MAPS_TO,API:hipDeviceGetLimit
API:cudaDeviceGetPCIBusId,MAPS_TO,API:hipDeviceGetPCIBusId
API:cudaDeviceGetSharedMemConfig,MAPS_TO,API:hipDeviceGetSharedMemConfig
API:cudaDeviceGetStreamPriorityRange,MAPS_TO,API:hipDeviceGetStreamPriorityRange
API:cudaDeviceReset,MAPS_TO,API:hipDeviceReset
API:cudaDeviceSetCacheConfig,MAPS_TO,API:hipDeviceSetCacheConfig
API:cudaDeviceSetSharedMemConfig,MAPS_TO,API:hipDeviceSetSharedMemConfig
API:cudaDeviceSynchronize,MAPS_TO,API:hipDeviceSynchronize
API:cudaGetDevice,MAPS_TO,API:hipGetDevice
API:cudaGetDeviceCount,MAPS_TO,API:hipGetDeviceCount
API:cudaGetDeviceProperties,MAPS_TO,API:hipGetDeviceProperties
API:cudaIpcCloseMemHandle,MAPS_TO,API:hipIpcCloseMemHandle
API:cudaIpcGetMemHandle,MAPS_TO,API:hipIpcGetMemHandle
API:cudaIpcOpenMemHandle,MAPS_TO,API:hipIpcOpenMemHandle
API:cudaSetDevice,MAPS_TO,API:hipSetDevice
runtime:dtk24043,SUPPORTS_API,API:printf
runtime:dtk24043,SUPPORTS_API,API:__popc
runtime:dtk24043,SUPPORTS_API,API:__popcll
runtime:dtk24043,SUPPORTS_API,API:__clz
runtime:dtk24043,SUPPORTS_API,API:__clzll
runtime:dtk24043,SUPPORTS_API,API:__ffs
runtime:dtk24043,SUPPORTS_API,API:__ffsll
runtime:dtk24043,SUPPORTS_API,API:__brev
runtime:dtk24043,SUPPORTS_API,API:__brevll
runtime:dtk24043,SUPPORTS_API,API:umul64hi
runtime:dtk24043,SUPPORTS_API,API:mul64hi
runtime:dtk24043,SUPPORTS_API,API:__umulhi
runtime:dtk24043,SUPPORTS_API,API:mulhi
runtime:dtk24043,SUPPORTS_API,API:__urhadd
runtime:dtk24043,SUPPORTS_API,API:__usad
runtime:dtk24043,SUPPORTS_API,API:__lane_id
runtime:dtk24043,SUPPORTS_API,API:__mbcnt_lo
runtime:dtk24043,SUPPORTS_API,API:__mbcnt_hi
runtime:dtk24043,SUPPORTS_API,API:__float2half_rn
